Campaign_ID,Campaign_Name,Channel,Start_Date,End_Date,Budget,Spend,Impressions,Clicks,Conversions,Revenue,Target_Audience,A_B_Group,Region
MKT-016,Loyalty Program Push,Email,2024-07-14,2024-07-18,23100,23100,919611,31727,2132,117348,55+,Variant_A,North America
MKT-017,Wellness Wednesday,Display Ads,2024-11-23,2024-11-27,37100,38213,1394392,9064,302,45856,18-24,Variant_B,Europe
MKT-018,Tech Tuesday,Email,2024-03-25,2024-04-11,12200,11102,404557,17720,1598,68499,35-44,Control,North America
MKT-019,New Year Kickoff,Content Marketing,2023-02-14,2023-03-30,30000,27300,792246,37790,1954,66339,55+,Control,North America
MKT-020,Loyalty Program Push,Email,2024-03-29,2024-04-25,2000,1840,29716,2039,223,7930,25-34,Variant_B,Europe
MKT-021,Product Launch Alpha,Content Marketing,2024-06-04,2024-06-08,20200,17574,214579,6588,252,110716,55+,Variant_A,North America
MKT-022,Memorial Day Sale,Email,2023-07-19,2023-09-02,44100,42336,1410636,61363,3786,275607,18-24,Control,North America
MKT-023,Thanksgiving Thanks,Display Ads,2024-09-18,2024-10-27,49500,53460,1414552,4809,158,82863,55+,Variant_B,North America
MKT-024,Winter Warmup,Social Media,2023-11-13,2023-11-28,30400,29488,647851,11143,628,145671,55+,Control,North America
MKT-025,Wellness Wednesday,Content Marketing,2023-03-25,2023-04-03,10000,8500,130985,4729,152,37570,18-24,Variant_A,Asia Pacific
MKT-026,Memorial Day Sale,Search Ads,2024-01-15,2024-02-21,48800,41968,1139851,63490,5993,261880,55+,Variant_A,Europe
MKT-027,Memorial Day Sale,Display Ads,2024-09-19,2024-10-27,20900,19855,264270,661,18,32959,45-54,Control,Europe
MKT-028,Memorial Day Sale,Search Ads,2024-11-18,2024-12-24,42400,37736,690946,51268,8182,285662,35-44,Control,Latin America
MKT-029,Labor Day Deals,Social Media,2023-07-07,2023-07-16,11000,11220,375085,8702,493,30294,55+,Variant_A,Europe
MKT-030,Father's Day Promo,Content Marketing,2023-05-18,2023-06-03,33800,30420,1085994,46481,3570,202293,55+,Variant_B,Middle East & Africa
MKT-031,Loyalty Program Push,Search Ads,2024-02-01,2024-03-17,49300,47821,914338,65284,10915,440910,35-44,Control,Latin America
MKT-032,Customer Appreciation,Social Media,2024-08-11,2024-09-15,44000,40920,1586059,37590,1203,94525,25-34,Variant_A,North America
MKT-033,Black Friday Push,Content Marketing,2024-02-17,2024-03-26,20300,18270,290310,13122,568,81850,55+,Variant_A,Middle East & Africa
MKT-034,Easter Special,Search Ads,2023-08-06,2023-09-11,36400,38948,819855,39927,4791,162413,45-54,Variant_A,Europe
MKT-035,Independence Day Blitz,Social Media,2023-08-10,2023-09-14,7200,6552,185028,2072,100,28108,35-44,Variant_B,Latin America
MKT-036,Holiday Special,Search Ads,2024-10-29,2024-11-14,3000,3030,100475,7747,1256,21149,18-24,Variant_B,Europe
MKT-037,Independence Day Blitz,Social Media,2024-11-19,2024-11-28,34000,35020,893010,15717,855,141481,35-44,Control,North America
MKT-038,Fresh Start January,Display Ads,2023-08-26,2023-09-12,47200,50032,1651056,1816,47,128582,25-34,Variant_A,Europe
MKT-039,Memorial Day Sale,Social Media,2024-01-07,2024-01-10,26900,23672,329278,9286,541,61784,25-34,Variant_A,Latin America
MKT-040,Winter Warmup,Email,2023-11-04,2023-11-09,26100,24795,244727,9251,603,196624,55+,Control,Europe
MKT-041,Independence Day Blitz,Content Marketing,2023-05-18,2023-06-23,2300,2346,33008,1069,53,16140,35-44,Variant_A,Europe
MKT-042,Father's Day Promo,Content Marketing,2023-04-29,2023-06-09,26100,24012,387314,14292,1090,104212,45-54,Variant_A,Middle East & Africa
MKT-043,Winter Warmup,Search Ads,2023-11-09,2023-11-28,30500,31415,328915,20426,1732,262629,35-44,Variant_B,Middle East & Africa
MKT-044,Fall Fashion Forward,Display Ads,2024-02-03,2024-03-08,45000,40950,1011056,4145,127,36446,18-24,Variant_B,Middle East & Africa
MKT-045,Early Bird Deals,Social Media,2024-08-04,2024-08-24,16000,14880,126182,2309,71,47765,45-54,Variant_A,Europe
MKT-046,Flash Sale Weekend,Content Marketing,2024-02-04,2024-02-17,19600,18620,348939,3664,181,82859,25-34,Control,North America
MKT-047,Black Friday Push,Content Marketing,2023-07-14,2023-08-08,49100,53028,1206387,51392,3515,307562,18-24,Control,Europe
MKT-048,Early Bird Deals,Email,2023-11-01,2023-11-30,24600,22878,559367,33059,3144,141386,18-24,Control,Latin America
MKT-049,Holiday Special,Social Media,2023-11-23,2024-01-01,45700,43415,612586,5942,346,107235,35-44,Variant_B,North America
MKT-050,Mid-Year Mega Sale,Email,2024-03-14,2024-04-05,34700,33312,467700,15294,1352,116592,18-24,Variant_B,North America
MKT-051,Easter Special,Display Ads,2024-03-12,2024-03-23,33900,29154,322735,1743,65,67054,55+,Control,North America
MKT-052,Mother's Day Campaign,Content Marketing,2023-01-26,2023-02-01,42100,40416,620386,15137,525,209759,25-34,Variant_A,Europe
MKT-053,Mid-Year Mega Sale,Display Ads,2024-04-30,2024-06-02,12700,12446,151094,725,28,14064,55+,Variant_A,Europe
MKT-054,Flash Sale Weekend,Social Media,2024-11-14,2024-12-29,9500,9690,364150,2513,91,43121,18-24,Variant_B,Asia Pacific
MKT-055,End of Season Clearance,Email,2024-03-12,2024-04-09,18500,16095,191691,11521,765,49895,25-34,Variant_B,Asia Pacific
MKT-056,Holiday Special,Search Ads,2023-10-03,2023-10-09,5400,4860,87869,4859,402,24835,35-44,Variant_A,North America
MKT-057,Easter Special,Search Ads,2023-01-01,2023-01-30,20300,20300,731409,52954,7016,188587,55+,Variant_B,North America
MKT-058,Valentine's Day Special,Social Media,2023-05-04,2023-06-18,1000,990,29373,370,21,1931,25-34,Variant_B,North America
MKT-059,Labor Day Deals,Content Marketing,2023-02-07,2023-03-14,34900,36994,1411321,21029,1537,165363,55+,Variant_A,North America
MKT-060,Flash Sale Weekend,Email,2023-06-30,2023-07-24,46700,42497,1152094,45393,3545,247758,18-24,Control,Middle East & Africa
MKT-061,Holiday Special,Email,2024-02-07,2024-02-13,900,837,8462,377,34,5273,55+,Variant_B,North America
MKT-062,Mid-Year Mega Sale,Social Media,2024-01-29,2024-02-21,25800,24252,583018,12418,327,75666,18-24,Variant_A,North America
MKT-063,End of Season Clearance,Search Ads,2024-02-18,2024-03-22,25500,22950,418608,28256,2289,209993,55+,Control,Europe
MKT-064,Tech Tuesday,Content Marketing,2024-11-10,2024-12-17,34400,30960,260374,5884,445,210218,35-44,Control,Europe
MKT-065,Retargeting Wave,Search Ads,2024-04-09,2024-05-10,47300,50611,914035,60875,5722,346685,55+,Variant_A,Asia Pacific
MKT-066,Early Bird Deals,Email,2024-02-08,2024-03-01,19800,21186,663122,37997,2177,128599,55+,Control,North America
MKT-067,Retargeting Wave,Email,2024-07-31,2024-08-16,11500,12305,403727,31571,1651,88596,18-24,Variant_A,North America
MKT-068,Tech Tuesday,Display Ads,2024-11-10,2024-12-20,26700,24564,434292,825,32,29231,55+,Variant_A,North America
MKT-069,Memorial Day Sale,Social Media,2024-08-07,2024-08-18,42500,39950,359151,10128,203,92285,55+,Control,Latin America
MKT-070,Wellness Wednesday,Social Media,2023-10-18,2023-11-28,15000,14250,278730,7554,405,46740,55+,Variant_A,Asia Pacific
MKT-071,Brand Awareness Q1,Email,2023-03-14,2023-04-16,46100,47944,1904336,47989,2740,233967,45-54,Control,North America
MKT-072,Back to School,Social Media,2024-07-09,2024-07-19,49500,43560,1591247,26892,1232,111078,45-54,Variant_A,North America
MKT-073,Customer Appreciation,Display Ads,2023-11-18,2023-12-11,16400,14760,543168,2933,49,30258,35-44,Variant_A,North America
MKT-074,Summer Sale 2023,Content Marketing,2024-01-30,2024-03-05,48300,52164,1890945,71667,4587,326547,35-44,Variant_A,North America
MKT-075,Fresh Start January,Display Ads,2024-07-04,2024-08-09,33600,29232,754186,4374,156,21339,18-24,Control,North America
MKT-076,Customer Appreciation,Content Marketing,2023-10-19,2023-11-07,34500,36225,1084214,45103,2539,138742,18-24,Variant_B,Latin America
MKT-077,Thanksgiving Thanks,Email,2023-03-12,2023-04-02,44700,46935,1090300,50481,5220,249225,18-24,Variant_A,Latin America
MKT-078,Easter Special,Search Ads,2024-11-29,2024-12-03,40900,35992,557156,46355,7649,286496,25-34,Variant_A,Europe
MKT-079,Mid-Year Mega Sale,Social Media,2023-11-30,2023-12-03,27900,26505,975384,23019,1179,48239,55+,Variant_A,Asia Pacific
MKT-080,End of Season Clearance,Email,2024-12-01,2024-12-06,13500,14175,347855,11271,777,54149,25-34,Control,North America
MKT-081,Retargeting Wave,Display Ads,2024-09-22,2024-10-31,18800,18612,723076,3398,59,16565,55+,Variant_B,North America
MKT-082,Fresh Start January,Search Ads,2024-10-21,2024-10-31,13000,12480,121805,4007,562,85987,35-44,Control,North America
MKT-083,Easter Special,Search Ads,2024-01-11,2024-02-13,35600,32752,333415,15570,1394,317039,25-34,Control,Asia Pacific
MKT-084,Mid-Year Mega Sale,Social Media,2023-11-10,2023-12-20,31300,29109,836302,8614,177,62293,45-54,Control,North America
MKT-085,New Year Kickoff,Social Media,2023-08-01,2023-08-30,25900,26159,978608,9982,472,113792,45-54,Variant_B,Europe
MKT-086,Wellness Wednesday,Display Ads,2024-04-25,2024-05-31,11000,9790,276274,1547,25,20951,55+,Variant_A,North America
MKT-087,Flash Sale Weekend,Content Marketing,2023-12-11,2023-12-14,27700,26315,395778,11121,479,167627,35-44,Control,Europe
MKT-088,Retargeting Wave,Social Media,2024-04-24,2024-06-08,47500,47975,1194098,10269,302,87315,25-34,Variant_B,Europe
MKT-089,Brand Awareness Q1,Email,2023-11-02,2023-12-15,9500,9405,94896,2240,155,49564,18-24,Control,Asia Pacific
MKT-090,Easter Special,Display Ads,2024-11-21,2024-12-04,49900,49401,1429665,2144,82,88922,45-54,Control,Asia Pacific
MKT-091,Wellness Wednesday,Search Ads,2023-11-27,2024-01-09,11700,11817,265055,16539,2261,136368,18-24,Control,Asia Pacific
MKT-092,Green Monday Push,Social Media,2023-12-24,2024-01-26,40400,42420,665146,16496,977,182406,45-54,Variant_A,North America
MKT-093,Wellness Wednesday,Search Ads,2024-01-31,2024-02-28,1000,1050,36362,3040,306,12579,25-34,Control,Asia Pacific
MKT-094,Mid-Year Mega Sale,Email,2023-08-25,2023-09-23,25300,23276,386847,18917,2041,133604,18-24,Variant_A,Asia Pacific
MKT-095,Cyber Monday Rush,Search Ads,2024-04-02,2024-05-10,29600,29600,548192,53284,9506,136160,45-54,Control,Latin America
MKT-096,Product Launch Alpha,Email,2024-05-20,2024-06-27,38100,35433,1239801,97448,8322,233503,45-54,Control,Europe
MKT-097,Product Launch Alpha,Content Marketing,2024-06-17,2024-07-09,8600,8772,329827,6893,266,21667,25-34,Variant_B,Europe
MKT-098,Easter Special,Social Media,2024-03-09,2024-04-20,10800,10152,190248,3615,122,27613,18-24,Variant_A,Latin America
MKT-099,Summer Sale 2023,Content Marketing,2023-11-28,2023-12-01,48500,44620,722398,28751,1757,140999,55+,Control,North America
MKT-100,Labor Day Deals,Search Ads,2023-06-13,2023-07-13,6000,5580,106243,6523,992,22320,45-54,Variant_A,Middle East & Africa
MKT-101,Black Friday Push,Email,2024-02-06,2024-03-21,29300,26663,777493,48749,5791,108518,25-34,Control,Asia Pacific
MKT-102,End of Season Clearance,Display Ads,2023-03-18,2023-04-06,28900,30923,1169508,8070,176,27212,18-24,Control,Asia Pacific
MKT-103,Spring Collection,Display Ads,2023-08-09,2023-09-03,12400,13020,516243,1755,25,22134,35-44,Control,North America
MKT-104,Mother's Day Campaign,Content Marketing,2024-03-27,2024-04-15,32400,34992,1375885,23390,1214,184758,25-34,Control,Europe
MKT-105,Easter Special,Display Ads,2024-11-10,2024-11-29,31500,29295,614316,3624,133,74116,45-54,Variant_A,North America
MKT-106,Cyber Monday Rush,Content Marketing,2023-10-10,2023-11-01,31700,31066,1024246,14954,972,182047,35-44,Control,Latin America
MKT-107,Tech Tuesday,Email,2024-10-03,2024-11-07,6800,7276,87385,2657,171,48531,18-24,Variant_B,North America
MKT-108,Brand Awareness Q1,Search Ads,2024-02-01,2024-02-18,49600,49104,1505529,125561,14678,310828,35-44,Variant_B,Europe
MKT-109,End of Season Clearance,Content Marketing,2023-12-19,2024-01-22,40500,42930,1422700,44531,1893,170861,55+,Control,Latin America
MKT-110,Retargeting Wave,Email,2023-01-11,2023-02-08,48800,46360,1373183,34055,2009,227164,45-54,Control,Asia Pacific
MKT-111,Independence Day Blitz,Email,2023-12-31,2024-02-13,38400,35712,628174,36999,1872,214272,18-24,Variant_B,Latin America
MKT-112,Summer Sale 2023,Social Media,2023-04-20,2023-05-09,34800,36540,593775,14072,286,112909,55+,Control,Europe
MKT-113,Spring Collection,Content Marketing,2023-04-12,2023-05-07,17300,16089,626827,8462,300,37648,45-54,Variant_B,Asia Pacific
MKT-114,New Year Kickoff,Display Ads,2024-10-26,2024-11-11,18300,16470,235356,353,4,46116,25-34,Variant_B,North America
MKT-115,Memorial Day Sale,Search Ads,2023-03-09,2023-03-18,45500,42770,372527,15199,1841,289981,18-24,Variant_B,North America
MKT-116,Loyalty Program Push,Email,2024-11-26,2024-12-11,12400,12152,362494,13811,1584,45935,45-54,Variant_B,Europe
MKT-117,Flash Sale Weekend,Search Ads,2024-02-07,2024-03-13,31100,27368,584033,39013,4022,200607,25-34,Variant_B,Middle East & Africa
MKT-118,Valentine's Day Special,Social Media,2024-03-10,2024-04-05,12900,13674,224527,3795,195,33501,35-44,Variant_A,Europe
MKT-119,Summer Sale 2023,Display Ads,2024-08-01,2024-09-04,27400,28770,331430,597,16,41717,35-44,Variant_B,Europe
MKT-120,Wellness Wednesday,Social Media,2023-07-23,2023-08-12,30300,32118,801023,10734,538,54601,45-54,Variant_B,North America
MKT-121,Winter Warmup,Display Ads,2024-07-07,2024-08-09,19200,16512,656682,3480,79,38803,55+,Variant_B,North America
MKT-122,Valentine's Day Special,Email,2023-06-13,2023-07-14,30400,29488,736610,45964,5249,192557,35-44,Control,North America
MKT-123,Mid-Year Mega Sale,Search Ads,2023-11-12,2023-12-26,14900,13261,442254,40289,4569,53972,45-54,Variant_A,Europe
MKT-124,Father's Day Promo,Email,2023-03-12,2023-04-09,16700,16199,528897,33744,3573,97518,55+,Control,Latin America
MKT-125,Green Monday Push,Display Ads,2024-06-19,2024-06-26,49700,49700,408534,572,21,34293,18-24,Control,North America
MKT-126,Memorial Day Sale,Search Ads,2023-03-27,2023-04-03,7400,6364,146117,11967,1206,53521,18-24,Variant_B,Asia Pacific
MKT-127,Fall Fashion Forward,Content Marketing,2023-12-28,2024-01-30,12700,12065,222720,11047,592,81439,25-34,Control,North America
MKT-128,Cyber Monday Rush,Display Ads,2023-10-07,2023-11-11,20000,20800,546416,4098,164,42848,35-44,Variant_A,Asia Pacific
MKT-129,Early Bird Deals,Content Marketing,2023-04-13,2023-04-24,29900,26013,594917,14040,848,144632,45-54,Variant_B,North America
MKT-130,Retargeting Wave,Content Marketing,2024-09-19,2024-10-26,46200,44814,1370860,49762,2130,252303,35-44,Variant_B,Europe
MKT-131,Green Monday Push,Social Media,2023-02-21,2023-03-23,37500,37875,825296,12132,725,61736,25-34,Control,Latin America
MKT-132,Mid-Year Mega Sale,Email,2024-09-02,2024-10-03,5000,4450,68886,1736,189,29593,45-54,Variant_B,Asia Pacific
MKT-133,Early Bird Deals,Social Media,2023-03-22,2023-04-27,32500,30550,1025869,6566,152,49491,18-24,Variant_A,Europe
MKT-134,Fresh Start January,Email,2023-12-13,2024-01-11,34100,33759,1243344,27727,2379,156642,35-44,Variant_B,North America
MKT-135,Holiday Special,Email,2024-02-03,2024-03-05,1600,1456,44364,3074,349,9333,55+,Variant_B,Europe
MKT-136,Wellness Wednesday,Display Ads,2023-08-22,2023-10-05,8800,7744,128086,154,3,17114,18-24,Variant_B,North America
MKT-137,Valentine's Day Special,Content Marketing,2023-07-13,2023-08-08,19600,19208,424113,9034,629,43986,25-34,Variant_B,Middle East & Africa
MKT-138,Cyber Monday Rush,Email,2024-03-10,2024-04-23,26500,27825,960797,21714,2300,169454,18-24,Control,North America
MKT-139,Easter Special,Content Marketing,2023-06-18,2023-07-07,10200,9486,223300,3126,174,24189,25-34,Variant_B,North America
MKT-140,Fresh Start January,Display Ads,2023-09-05,2023-10-13,3800,3762,79077,490,19,9292,45-54,Control,Europe
MKT-141,Easter Special,Display Ads,2023-09-16,2023-09-25,16700,15698,317257,1586,62,13657,35-44,Variant_B,North America
MKT-142,Loyalty Program Push,Display Ads,2023-08-26,2023-09-18,25000,22500,515025,1391,45,11250,45-54,Variant_A,Asia Pacific
MKT-143,Fall Fashion Forward,Content Marketing,2023-04-28,2023-05-08,19000,16530,505983,25046,781,113892,45-54,Variant_B,Middle East & Africa
MKT-144,Brand Awareness Q1,Search Ads,2023-10-21,2023-12-04,13400,11524,446325,22673,3122,52895,25-34,Variant_A,Asia Pacific
MKT-145,Black Friday Push,Social Media,2023-08-11,2023-09-14,18200,16926,602396,12891,768,64319,35-44,Variant_B,North America
MKT-146,Wellness Wednesday,Search Ads,2024-09-30,2024-10-12,33000,33990,739622,66862,11046,364033,18-24,Control,North America
MKT-147,New Year Kickoff,Content Marketing,2023-12-21,2024-01-24,16900,15886,413354,19882,968,61320,45-54,Control,North America
MKT-148,Spring Collection,Content Marketing,2023-02-23,2023-04-04,1500,1545,12947,339,20,9409,25-34,Variant_A,North America
MKT-149,Green Monday Push,Email,2023-01-06,2023-02-15,22400,22624,577364,13279,892,71039,35-44,Control,Asia Pacific
MKT-150,Mid-Year Mega Sale,Content Marketing,2023-12-22,2024-01-02,7800,8190,115970,4314,334,55774,25-34,Control,North America
MKT-151,Independence Day Blitz,Content Marketing,2023-10-25,2023-10-30,36700,36333,441446,18452,1140,207461,55+,Control,Europe
MKT-152,Flash Sale Weekend,Display Ads,2024-05-08,2024-05-23,22600,21244,310162,1117,41,14871,18-24,Variant_B,Middle East & Africa
MKT-153,Mother's Day Campaign,Search Ads,2023-04-16,2023-05-09,46400,44080,1295952,125189,13533,390108,35-44,Variant_B,North America
MKT-154,Green Monday Push,Social Media,2024-05-26,2024-06-20,2600,2470,23860,444,16,11560,55+,Control,North America
MKT-155,Customer Appreciation,Display Ads,2024-02-28,2024-03-21,38300,40981,793802,1349,18,101223,18-24,Variant_A,Latin America
MKT-156,Wellness Wednesday,Content Marketing,2023-09-09,2023-09-26,40200,40602,332124,6975,462,217627,55+,Variant_A,Europe
MKT-157,Flash Sale Weekend,Social Media,2024-06-03,2024-06-15,43700,39767,780229,8895,475,69592,25-34,Variant_B,Middle East & Africa
MKT-158,Back to School,Content Marketing,2023-01-04,2023-01-09,8500,7480,289102,5724,200,33062,25-34,Variant_B,Asia Pacific
MKT-159,Thanksgiving Thanks,Display Ads,2023-06-04,2023-06-27,33000,35310,1261626,9336,355,55084,35-44,Variant_B,Asia Pacific
MKT-160,Winter Warmup,Display Ads,2024-02-23,2024-03-31,13500,12960,111456,357,10,31882,55+,Variant_B,North America
MKT-161,End of Season Clearance,Search Ads,2024-02-19,2024-03-18,24400,26108,391881,34486,3749,261863,35-44,Control,Europe
MKT-162,Black Friday Push,Email,2024-08-14,2024-09-26,43000,39560,669751,26187,2891,294326,25-34,Control,North America
MKT-163,Mid-Year Mega Sale,Email,2024-06-23,2024-07-25,47100,49926,597614,25279,2973,243639,18-24,Variant_B,Latin America
MKT-164,Memorial Day Sale,Content Marketing,2024-05-05,2024-06-14,900,765,14833,642,51,2341,35-44,Variant_A,North America
MKT-165,Flash Sale Weekend,Social Media,2023-08-29,2023-10-02,4000,4160,132205,3001,72,13978,25-34,Variant_B,Middle East & Africa
MKT-166,Mid-Year Mega Sale,Content Marketing,2024-10-27,2024-11-12,46000,47380,1360754,51845,1903,303706,55+,Control,Asia Pacific
MKT-167,Memorial Day Sale,Display Ads,2023-01-02,2023-01-08,32200,33810,304966,1708,50,72692,55+,Variant_A,North America
MKT-168,Cyber Monday Rush,Content Marketing,2023-05-11,2023-06-07,34500,29325,922565,23618,1649,69207,55+,Variant_B,North America
MKT-169,Holiday Special,Search Ads,2024-10-01,2024-11-06,32100,33705,1231918,78966,13085,246047,45-54,Control,Europe
MKT-170,Mother's Day Campaign,Display Ads,2023-02-05,2023-03-06,26600,26866,847622,1441,56,30627,55+,Control,Asia Pacific
MKT-171,Independence Day Blitz,Display Ads,2023-09-05,2023-10-13,39500,37130,370557,1556,57,49754,35-44,Control,Asia Pacific
MKT-172,Early Bird Deals,Display Ads,2023-10-23,2023-11-24,47200,44368,1451277,7402,76,57678,45-54,Variant_B,Europe
MKT-173,Easter Special,Display Ads,2024-05-27,2024-06-16,14700,12936,473328,2177,24,18757,18-24,Control,North America
MKT-174,Early Bird Deals,Search Ads,2024-03-16,2024-04-03,22300,23861,727283,70765,5753,128372,25-34,Variant_B,North America
MKT-175,Independence Day Blitz,Content Marketing,2023-02-12,2023-03-20,26600,25536,734160,32450,2336,116700,35-44,Control,Europe
MKT-176,Father's Day Promo,Social Media,2023-07-17,2023-07-26,23800,23562,492917,11288,674,111920,55+,Variant_A,Europe
MKT-177,Father's Day Promo,Content Marketing,2023-10-29,2023-11-18,44900,39512,1348149,62824,3261,184521,55+,Variant_B,Europe
MKT-178,Back to School,Content Marketing,2023-08-01,2023-08-06,2300,2300,60099,1809,119,6394,55+,Variant_B,North America
MKT-179,Mid-Year Mega Sale,Search Ads,2023-10-25,2023-11-10,9800,8624,148678,5144,524,39843,25-34,Control,North America
MKT-180,Black Friday Push,Search Ads,2023-05-20,2023-06-03,47400,40290,847702,61713,8097,234891,35-44,Control,North America
MKT-181,Green Monday Push,Email,2023-10-31,2023-11-05,4000,4280,45625,2491,296,31672,55+,Control,North America
MKT-182,Tech Tuesday,Display Ads,2024-07-14,2024-08-14,48700,50648,1720006,4644,174,106867,25-34,Variant_B,Middle East & Africa
MKT-183,Valentine's Day Special,Email,2024-08-30,2024-09-08,46200,46662,913175,31231,3592,145119,35-44,Control,Europe
MKT-184,Thanksgiving Thanks,Content Marketing,2024-05-27,2024-06-03,38200,36672,870593,25421,1957,150355,25-34,Variant_A,Middle East & Africa
MKT-185,Fall Fashion Forward,Email,2023-01-24,2023-03-05,7700,8316,200416,14931,885,26778,55+,Variant_B,Europe
MKT-186,New Year Kickoff,Search Ads,2023-04-05,2023-05-20,32100,29853,342712,16622,2881,324502,45-54,Control,Europe
MKT-187,Flash Sale Weekend,Search Ads,2024-08-30,2024-09-22,34600,29756,385935,16904,2152,326721,55+,Variant_A,North America
MKT-188,Mother's Day Campaign,Social Media,2023-05-30,2023-06-21,34000,32300,862087,4655,207,88179,18-24,Control,Europe
MKT-189,Fresh Start January,Content Marketing,2024-09-14,2024-10-27,45500,40040,1440239,45368,1624,232632,25-34,Variant_A,North America
MKT-190,Independence Day Blitz,Social Media,2024-07-27,2024-08-14,33800,34814,620385,18487,869,117323,25-34,Control,Europe
MKT-191,Wellness Wednesday,Email,2023-10-13,2023-10-21,5900,5605,94949,3551,184,40860,25-34,Variant_B,Latin America
MKT-192,Mother's Day Campaign,Search Ads,2024-06-24,2024-07-16,47000,49350,972195,56096,5812,481163,18-24,Variant_B,North America
MKT-193,Green Monday Push,Email,2023-09-14,2023-09-25,3200,2912,97465,7534,463,12289,25-34,Variant_B,North America
MKT-194,Early Bird Deals,Display Ads,2024-08-08,2024-09-07,49100,48118,636120,2544,73,85169,55+,Control,North America
MKT-195,Summer Sale 2023,Display Ads,2023-06-24,2023-07-09,44100,40131,1532202,8427,328,42940,45-54,Variant_B,Asia Pacific
MKT-196,Labor Day Deals,Social Media,2024-02-12,2024-02-19,24800,21328,795961,5094,137,72515,55+,Variant_A,North America
MKT-197,Winter Warmup,Display Ads,2024-03-12,2024-03-17,9400,9964,371458,1746,66,8768,35-44,Control,North America
MKT-198,Summer Sale 2023,Email,2023-02-23,2023-03-10,23600,20296,499485,29919,1550,124212,45-54,Variant_B,Asia Pacific
MKT-199,Labor Day Deals,Social Media,2023-07-22,2023-08-01,45200,39776,1072361,20804,520,175014,25-34,Variant_B,North America
MKT-200,Memorial Day Sale,Search Ads,2024-09-17,2024-10-13,39700,34142,916030,57710,6036,155005,25-34,Variant_A,Latin America
MKT-201,Retargeting Wave,Social Media,2023-05-19,2023-07-02,7800,8346,186783,2578,89,16358,18-24,Control,Latin America
MKT-202,End of Season Clearance,Search Ads,2023-09-21,2023-10-01,49800,51792,855086,40446,5974,309716,35-44,Variant_A,Asia Pacific
MKT-203,Brand Awareness Q1,Email,2023-05-29,2023-07-06,28500,26790,754674,57582,4417,178957,55+,Variant_B,North America
MKT-204,Holiday Special,Email,2023-12-02,2023-12-25,40000,39200,1449616,76830,7114,157584,18-24,Control,Europe
MKT-205,Wellness Wednesday,Social Media,2024-07-14,2024-08-25,47100,48042,1217384,31774,1668,73985,35-44,Control,Europe
MKT-206,Back to School,Email,2023-09-01,2023-10-10,35300,37771,653438,24112,1587,114446,25-34,Variant_B,Latin America
MKT-207,Customer Appreciation,Display Ads,2023-05-31,2023-07-13,27100,25203,674684,4723,80,54438,18-24,Variant_A,North America
MKT-208,Tech Tuesday,Email,2024-03-09,2024-03-25,27600,24840,731290,57114,2964,188039,35-44,Control,Latin America
MKT-209,Fall Fashion Forward,Content Marketing,2024-01-22,2024-01-26,29600,26048,1036450,12126,410,161758,18-24,Variant_B,North America
MKT-210,Early Bird Deals,Social Media,2024-05-17,2024-06-24,1500,1335,11828,180,5,5393,35-44,Control,North America
MKT-211,Customer Appreciation,Search Ads,2024-02-28,2024-04-01,700,707,26817,1150,156,3443,35-44,Variant_B,North America
